"franchise_name","total_movies","total_profit","AVG_profit","total_production_budget","total_opening_weekend","total_domestic_box_office","total_worldwide_box_office","AVG_production_budget","AVG_opening_weekend","AVG_domestic_box_office","AVG_worldwide_box_office"
"Avengers","4","6466577508","1616644377.00","1290000000","1013523007","2619552260","7756577508","322500000.00","253380751.75","654888065.00","1939144377.00"
"Spider-Man","3","3366987307","1122329102.33","535000000","469745284","1528709009","3901987307","178333333.33","156581761.33","509569669.67","1300662435.67"
"Iron Man","3","1865720208","621906736.00","556000000","404385733","1040029729","2421720208","185333333.33","134795244.33","346676576.33","807240069.33"
"Captain América","3","1676890186","558963395.33","560000000","339221387","844485812","2236890186","186666666.67","113073795.67","281495270.67","745630062.00"
"Thor","3","1464411912","488137304.00","480000000","274206168","702451053","1944411912","160000000.00","91402056.00","234150351.00","648137304.00"
"Guardians of the Galaxy","2","1269995496","634997748.00","370000000","240830987","723527213","1639995496","185000000.00","120415493.50","361763606.50","819997748.00"
"Black Panther","1","1136494321","1136494321.00","200000000","202003951","700059566","1336494321","200000000.00","202003951.00","700059566.00","1336494321.00"
"Captain Marvel","1","954727388","954727388.00","175000000","153433423","426829839","1129727388","175000000.00","153433423.00","426829839.00","1129727388.00"
"Ant-Man","2","882003109","441001554.50","260000000","133037731","396850903","1142003109","130000000.00","66518865.50","198425451.50","571001554.50"
"Doctor Strange","1","511354481","511354481.00","165000000","85058311","232641920","676354481","165000000.00","85058311.00","232641920.00","676354481.00"
"Shang-Chi","1","282243292","282243292.00","150000000","75388688","224543292","432243292","150000000.00","75388688.00","224543292.00","432243292.00"
"Eternals","1","202064929","202064929.00","200000000","71297219","164870264","402064929","200000000.00","71297219.00","164870264.00","402064929.00"
"Black Widow","1","179751655","179751655.00","200000000","80366312","183651655","379751655","200000000.00","80366312.00","183651655.00","379751655.00"
"Hulk","1","128073859","128073859.00","137500000","55414050","134806913","265573859","137500000.00","55414050.00","134806913.00","265573859.00"
